,stm_bus_stop_id,stm_bus_stop_name,stm_bus_stop_code,stm_bus_stop_location_type,stm_bus_stop_latitude,stm_bus_stop_longitude,stm_bus_stop_is_wheelchair_accessible,stm_bus_stop_is_active
1141,50694,Jean-Talon / de la Côte-des-Neiges,50694,Stop,45.505755,-73.641454,True,True
1142,50695,Somerled / Coronation,50695,Stop,45.462019,-73.642885,True,True
1143,50696,Somerled / Coronation,50696,Stop,45.461808,-73.642887,False,True
1144,50697,Plamondon / Lemieux,50697,Stop,45.493902,-73.642019,True,True
1145,50698,de l'Acadie / d'Anvers,50698,Stop,45.528609,-73.640757,True,True
1146,50699,de l'Acadie / d'Anvers,50699,Stop,45.528491,-73.641139,True,True
1147,50700,Décarie / Van Horne,50700,Stop,45.489648,-73.641954,True,True
1148,50701,Van Horne / Décarie,50701,Stop,45.489977,-73.64204,True,True
1149,50702,Décarie / Van Horne,50702,Stop,45.489348,-73.642541,True,True
1150,50703,Van Horne / Décarie,50703,Stop,45.489209,-73.642372,True,True
1151,50704,Charland / de Lille,50704,Stop,45.570763,-73.639718,True,True
1152,50705,de Lille / Charland,50705,Stop,45.570646,-73.640093,True,True
1153,50706,Charland / de Lille,50706,Stop,45.570402,-73.639863,True,True
1154,50707,Saint-Hubert / Émile-Journault,50707,Stop,45.550616,-73.639997,True,True
1155,50708,Émile-Journault / Marcel-Cadieux,50708,Stop,45.550952,-73.640076,True,True
1156,50709,Saint-Hubert / Émile-Journault,50709,Stop,45.550554,-73.640432,True,True
1157,50710,Émile-Journault / Saint-Hubert,50710,Stop,45.550367,-73.640269,True,True
1158,50711,Émile-Journault / De Chateaubriand,50711,Stop,45.550044,-73.640639,True,True
1159,50712,Christophe-Colomb / Legendre,50712,Stop,45.556231,-73.640089,True,True
1160,50714,Macdonald / Hampstead,50714,Stop,45.484886,-73.642157,True,True
1161,50715,de Liège / Jeanne-Mance,50715,Stop,45.535636,-73.640476,True,True
1162,50716,West Broadway / de Terrebonne,50716,Stop,45.457449,-73.642413,True,True
1163,50717,West Broadway / de Terrebonne,50717,Stop,45.457498,-73.642913,True,True
1164,50718,Sauvé / J.-J.-Gagnier,50718,Stop,45.576103,-73.639199,True,True
1165,50719,Sauvé / Larose,50719,Stop,45.575626,-73.639417,True,True
1166,50720,Crémazie / Casgrain,50720,Stop,45.542774,-73.640473,True,True
1167,50721,Station Plamondon (Barclay / Victoria),50721,Stop,45.496188,-73.64144,True,True
1168,50722,Van Horne / Décarie,50722,Stop,45.489869,-73.64189,True,True
1169,50723,Sherbrooke / Connaught,50723,Stop,45.454061,-73.642325,True,True
1170,50724,Cavendish / Fielding,50724,Stop,45.469317,-73.641699,True,True
1171,50725,Fielding / Cavendish,50725,Stop,45.469449,-73.641849,True,True
1172,50726,Cavendish / Fielding,50726,Stop,45.469286,-73.642061,True,True
1173,50727,Fielding / Cavendish,50727,Stop,45.469159,-73.641912,True,True
1174,50728,Clanranald / Bourret,50728,Stop,45.485534,-73.641194,True,True
1175,50729,Somerled / Mariette,50729,Stop,45.463416,-73.6418,True,True
1176,50730,Somerled / Mariette,50730,Stop,45.46313,-73.641861,False,True
1177,50731,Charland / D'Iberville,50731,Stop,45.572031,-73.638651,True,True
1178,50732,Saint-Michel / Sauvé,50732,Stop,45.576816,-73.638249,True,True
1179,50733,Saint-Michel / Sauvé,50733,Stop,45.576833,-73.638828,True,True
1180,50734,Crémazie / Henri-Julien,50734,Stop,45.543969,-73.639595,True,True
1181,50735,Jean-Talon / Mulberry,50735,Stop,45.506614,-73.640067,False,True
1182,50736,Station Plamondon (Victoria / Plamondon),50736,Stop,45.495654,-73.640352,True,True
1183,50737,Station Plamondon (Victoria / Plamondon),50737,Stop,45.495671,-73.640721,True,True
1184,50738,Station Plamondon (Plamondon / Victoria),50738,Stop,45.495518,-73.640577,True,True
1185,50739,Champagneur / d'Anvers,50739,Stop,45.531195,-73.639202,True,True
1186,50740,de Liège / de l'Esplanade,50740,Stop,45.537408,-73.6395,True,True
1187,50741,Gare Montréal-Ouest (Elmhurst / Sherbrooke),50741,Stop,45.454553,-73.641462,True,True
1188,50744,Van Horne / de Westbury,50744,Stop,45.491427,-73.640452,True,True
1189,50745,Van Horne / de Westbury,50745,Stop,45.491209,-73.640527,True,True
1190,50746,Jean-Talon / Frobisher,50746,Stop,45.506382,-73.64014,True,True
1191,50747,Sherbrooke / Patricia,50747,Stop,45.455402,-73.641252,True,True
1192,50748,Bloomfield / d'Anvers,50748,Stop,45.531752,-73.639255,True,True
1193,50749,Somerled / King-Edward,50749,Stop,45.464742,-73.640777,True,True
1194,50750,Somerled / King-Edward,50750,Stop,45.464549,-73.640755,False,True
1195,50751,de Liège / de Reims,50751,Stop,45.538926,-73.63863,True,True
1196,50752,Côte-Saint-Luc / Hingston,50752,Stop,45.476056,-73.640421,True,True
1197,50753,Barclay / Lavoie,50753,Stop,45.498247,-73.639599,True,True
1198,50754,Charland / Sackville,50754,Stop,45.573362,-73.63754,True,True
1199,50755,Charland / Sackville,50755,Stop,45.573106,-73.637587,True,True
1200,50756,Station Crémazie Sud (St-Denis / Crémazie),50756,Stop,45.545276,-73.638251,True,True
1201,50758,Station Crémazie Sud (St-Denis / Crémazie),50758,Stop,45.545085,-73.638169,True,True
1202,50760,Station Crémazie Nord (St-Denis / Crémazie),50760,Stop,45.546234,-73.639266,True,True
1203,50761,Fielding / West Hill,50761,Stop,45.471853,-73.640031,True,True
